scientific_name,iucn_class,iucn_category,iucn_score,lastwatch_score,lastwatch_tier
Partula taeniata nucleola,GASTROPODA,CR,4,100.0,EX
Partula navigatoria,GASTROPODA,EW,5,100.0,EX
Brugmansia suaveolens,MAGNOLIOPSIDA,EW,5,100.0,EX
Xiphophorus couchianus,ACTINOPTERYGII,EW,5,100.0,EX
Kalanchoe fadeniorum,MAGNOLIOPSIDA,EW,5,100.0,EX
Erythroxylum echinodendron,MAGNOLIOPSIDA,EW,5,100.0,EX
Sophora toromiro,MAGNOLIOPSIDA,EW,5,100.0,EX
Partula garrettii,GASTROPODA,EW,5,100.0,EX
Diplazium laffanianum,POLYPODIOPSIDA,EW,5,100.0,EX
Agave lurida,LILIOPSIDA,EW,5,100.0,EX
Mitu mitu,AVES,EW,5,100.0,EX
Todiramphus cinnamominus,AVES,EW,5,100.0,EX
Lachanodes arborea,MAGNOLIOPSIDA,EW,5,100.0,EX
Thermosphaeroma thermophilum,MALACOSTRACA,EW,5,100.0,EX
Bromus interruptus,LILIOPSIDA,EW,5,100.0,EX
Corypha taliera,LILIOPSIDA,EW,5,100.0,EX
Xiphophorus meyeri,ACTINOPTERYGII,EW,5,100.0,EX
Anaxyrus baxteri,AMPHIBIA,EW,5,100.0,EX
Mangifera casturi,MAGNOLIOPSIDA,EW,5,100.0,EX
Partula suturalis vexillum,GASTROPODA,EW,5,100.0,EX
Partula suturalis strigosa,GASTROPODA,EW,5,100.0,EX
Ursus thibetanus ussuricus,MAMMALIA,VU,2,73.1,T3
Naemorhedus caudatus,MAMMALIA,VU,2,55.2,T2
Lutra lutra,MAMMALIA,NT,1,0.0,T0
Nipponia nippon,AVES,EN,3,0.4,T0
Ciconia boyciana,AVES,EN,3,54.6,T2
Panthera tigris altaica,MAMMALIA,EN,3,66.5,T3
Canis lupus coreanus,MAMMALIA,LC,0,100.0,EX
Cervus nippon hortulorum,MAMMALIA,LC,0,100.0,EX
Cercopithecus dryas,,EN,3,70.0,T3
Oreonax flavicauda,,CR,4,44.7,T2
Zyzomys palatalis,MAMMALIA,CR,4,22.6,T1
Lepilemur wrightae,MAMMALIA,EN,3,50.1,T2
Bison bonasus,MAMMALIA,NT,1,17.3,T0
Capra aegagrus,MAMMALIA,NT,1,10.5,T0
Isoodon auratus,MAMMALIA,LC,0,10.5,T0
Lagorchestes hirsutus,MAMMALIA,NT,1,6.6,T0
Leopardus guigna,MAMMALIA,LC,0,15.2,T0
Notomys fuscus,MAMMALIA,NT,1,10.5,T0
Syconycteris carolinae,MAMMALIA,NT,1,40.6,T2
Antilope cervicapra,MAMMALIA,LC,0,15.3,T0
Bettongia gaimardi,MAMMALIA,NT,1,15.0,T0
Bettongia lesueur,MAMMALIA,NT,1,10.5,T0
Bison bison,MAMMALIA,NT,1,10.6,T0
Capra cylindricornis,MAMMALIA,NT,1,10.5,T0
Capra falconeri,MAMMALIA,NT,1,6.6,T0
Chrysocyon brachyurus,MAMMALIA,NT,1,15.3,T0
Dasyurus geoffroii,MAMMALIA,NT,1,13.5,T0
Dasyurus maculatus,MAMMALIA,NT,1,40.2,T2
Dendrolagus lumholtzi,MAMMALIA,NT,1,15.3,T0
Eudorcas thomsonii,MAMMALIA,LC,0,40.1,T2
Genetta piscivora,MAMMALIA,NT,1,40.5,T2
Hyaena hyaena,MAMMALIA,NT,1,40.5,T2
Lasiorhinus latifrons,MAMMALIA,LC,0,3.6,T0
Leporillus conditor,MAMMALIA,NT,1,22.2,T1
Mastacomys fuscus,MAMMALIA,NT,1,40.3,T2
Monodon monoceros,MAMMALIA,VU,2,44.7,T2
Notomys cervinus,MAMMALIA,NT,1,13.5,T0
Ornithorhynchus anatinus,MAMMALIA,NT,1,40.1,T2
Otocolobus manul,MAMMALIA,LC,0,40.2,T2
Ozotoceros bezoarticus,MAMMALIA,NT,1,40.7,T2
Pantholops hodgsonii,MAMMALIA,NT,1,3.6,T0
Parahyaena brunnea,MAMMALIA,NT,1,10.6,T0
Petrogale godmani,MAMMALIA,NT,1,40.6,T2
Petrogale mareeba,MAMMALIA,NT,1,10.6,T0
Petrogale purpureicollis,MAMMALIA,NT,1,40.3,T2
Phascogale calura,MAMMALIA,NT,1,40.3,T2
Phascogale tapoatafa,MAMMALIA,NT,1,40.3,T2
Potorous tridactylus,MAMMALIA,NT,1,39.8,T1
Procapra picticaudata,MAMMALIA,NT,1,40.0,T2
Pseudantechinus mimulus,MAMMALIA,NT,1,40.3,T2
Pseudochirulus cinereus,MAMMALIA,NT,1,40.1,T2
Sminthopsis bindi,MAMMALIA,NT,1,40.6,T2
Sminthopsis douglasi,MAMMALIA,NT,1,40.1,T2
Taphozous australis,MAMMALIA,NT,1,40.3,T2
Tragelaphus imberbis,MAMMALIA,NT,1,40.4,T2
Urocyon littoralis,MAMMALIA,NT,1,6.6,T0
Uromys hadrourus,MAMMALIA,NT,1,10.5,T0
Wyulda squamicaudata,MAMMALIA,NT,1,40.5,T2
Antechinomys laniger,MAMMALIA,LC,0,40.2,T2
Antidorcas marsupialis,MAMMALIA,LC,0,3.6,T0
Arctocephalus australis,MAMMALIA,LC,0,3.6,T0
Arctocephalus forsteri,MAMMALIA,LC,0,3.6,T0
Arctocephalus philippii,MAMMALIA,LC,0,3.6,T0
Arctocephalus pusillus,MAMMALIA,LC,0,3.6,T0
Arctocephalus townsendi,MAMMALIA,LC,0,3.6,T0
Arctocephalus tropicalis,MAMMALIA,LC,0,10.5,T0
Balaena mysticetus,MAMMALIA,VU,2,60.0,T3
Boselaphus tragocamelus,MAMMALIA,LC,0,10.5,T0
Capra ibex,MAMMALIA,LC,0,10.5,T0
Capra sibirica,MAMMALIA,NT,1,40.1,T2
Capreolus capreolus,MAMMALIA,LC,0,3.6,T0
Castor fiber,MAMMALIA,LC,0,3.6,T0
Connochaetes gnou,MAMMALIA,LC,0,3.6,T0
Ctenomys peruanus,MAMMALIA,CR,4,90.5,T4
Equus kiang,MAMMALIA,LC,0,10.5,T0
Gazella bennettii,MAMMALIA,LC,0,40.2,T2
Gulo gulo,MAMMALIA,LC,0,17.3,T0
Halichoerus grypus,MAMMALIA,LC,0,3.6,T0
Herpailurus yagouaroundi,MAMMALIA,NT,1,40.3,T2
Hippotragus equinus,MAMMALIA,LC,0,40.1,T2
Histriophoca fasciata,MAMMALIA,LC,0,15.2,T0
Hydrurga leptonyx,MAMMALIA,LC,0,15.3,T0
Isoodon obesulus,MAMMALIA,LC,0,40.2,T2
Lama guanicoe,MAMMALIA,LC,0,3.6,T0
Leptonychotes weddellii,MAMMALIA,LC,0,15.1,T0
Lobodon carcinophaga,MAMMALIA,LC,0,15.2,T0
Lycalopex vetulus,MAMMALIA,NT,1,40.3,T2
Marmota olympus,MAMMALIA,LC,0,50.4,T2
Microtus tatricus,MAMMALIA,LC,0,10.5,T0
Mirounga angustirostris,MAMMALIA,LC,0,3.6,T0
Mustela eversmanii,MAMMALIA,EN,3,50.2,T2
Myzopoda schliemanni,MAMMALIA,LC,0,15.1,T0
Notoryctes caurinus,MAMMALIA,LC,0,10.5,T0
Notoryctes typhlops,MAMMALIA,LC,0,10.5,T0
Ommatophoca rossii,MAMMALIA,LC,0,15.3,T0
Oreamnos americanus,MAMMALIA,LC,0,10.5,T0
Otaria byronia,MAMMALIA,LC,0,10.5,T0
Ovis canadensis,MAMMALIA,LC,0,10.5,T0
Ovis dalli,MAMMALIA,LC,0,10.5,T0
Petrogale brachyotis,MAMMALIA,LC,0,15.3,T0
Phoca largha,MAMMALIA,LC,0,10.5,T0
Plecotus kolombatovici,MAMMALIA,LC,0,40.6,T2
Procapra gutturosa,MAMMALIA,LC,0,10.5,T0
Pronolagus rupestris,MAMMALIA,LC,0,15.3,T0
Pronolagus saundersiae,MAMMALIA,LC,0,15.4,T0
Pseudantechinus bilarni,MAMMALIA,NT,1,40.2,T2
Pseudochirops archeri,MAMMALIA,NT,1,39.9,T1
Pusa sibirica,MAMMALIA,LC,0,10.5,T0
Rupicapra pyrenaica,MAMMALIA,LC,0,3.6,T0
Rupicapra rupicapra,MAMMALIA,LC,0,15.2,T0
Sminthopsis dolichura,MAMMALIA,LC,0,10.5,T0
Sminthopsis leucopus,MAMMALIA,LC,0,10.5,T0
