scientific_name,taxon,iucn_class,iucn_category,iucn_score,gen,is_single
Micranthocereus albicephalus,무척추/식물/기타,MAGNOLIOPSIDA,VU,2,17.5,False
Cedrela odorata,무척추/식물/기타,MAGNOLIOPSIDA,VU,2,33.0,True
Dentex dentex,어류,ACTINOPTERYGII,VU,2,12.0,True
Fouquieria columnaris,무척추/식물/기타,MAGNOLIOPSIDA,VU,2,388.0,True
Hopea odorata,무척추/식물/기타,MAGNOLIOPSIDA,VU,2,100.0,True
Byblis lamellata,무척추/식물/기타,MAGNOLIOPSIDA,VU,2,6.5,False
Coua delalandei,조류,AVES,EX,5,5.13,True
Turdus ravidus,조류,AVES,EX,5,3.38,True
Lophopsittacus mauritianus,조류,AVES,EX,5,4.63,True
Porphyrio caerulescens,조류,AVES,EX,5,3.41,True
Myadestes woahensis,조류,AVES,EX,5,3.1,True
Chlorostilbon elegans,무척추/식물/기타,,EX,5,2.2,True
Chlorostilbon bracei,무척추/식물/기타,,EX,5,2.2,True
Necropsar rodericanus,조류,AVES,EX,5,3.33,True
Cyanoramphus ulietanus,조류,AVES,EX,5,3.62,True
Necropsittacus rodricanus,조류,AVES,EX,5,4.63,True
Xenicus longipes,조류,AVES,EX,5,2.66,True
Dromaius baudinianus,조류,AVES,EX,5,8.65,True
Anas marecula,조류,AVES,EX,5,5.02,True
Melamprosops phaeosoma,조류,AVES,EX,5,5.0,True
Podiceps andinus,조류,AVES,EX,5,5.22,True
Mascarenotus murivorus,조류,AVES,EX,5,3.98,True
Alectroenas nitidissimus,조류,AVES,EX,5,6.6,True
Porphyrio mantelli,조류,AVES,EX,5,3.41,True
Nestor productus,조류,AVES,EX,5,10.61,True
Alloperla roberti,무척추/식물/기타,INSECTA,EX,5,1.0,True
Podilymbus gigas,조류,AVES,EX,5,4.23,True
Furcraea macdougallii,무척추/식물/기타,LILIOPSIDA,EW,5,65.0,False
Allotoca goslinei,어류,ACTINOPTERYGII,EW,5,2.0,True
Skiffia francesae,어류,ACTINOPTERYGII,EW,5,1.0,True
Cryptoblepharus egeriae,파충류,REPTILIA,EW,5,3.5,False
Corvus hawaiiensis,조류,AVES,EW,5,5.97,True
Zenaida graysoni,조류,AVES,EW,5,4.77,True
Cyanopsitta spixii,조류,AVES,EW,5,9.6,True
