scientific_name,iucn_class,iucn_category,raw,consensus_score,gen,log_gen,taxon,iucn_rli,is_extinct
Cycas circinalis,CYCADOPSIDA,EN,40,44.9,40.0,1.6020599913279623,무척추/식물/기타,3,False
Rhyticeros everetti,AVES,EN,8.4,50.6,8.4,0.9242792860618817,조류,3,False
Procellaria westlandica,AVES,EN,30.2,15.2,30.2,1.4800069429571505,조류,3,False
Aratinga solstitialis,AVES,EN,6.55,51.0,6.55,0.8162412999917831,조류,3,False
Elaeocarpus recurvatus,MAGNOLIOPSIDA,EN,25,45.2,25.0,1.3979400086720377,무척추/식물/기타,3,False
Pavo muticus,AVES,EN,6.1,40.6,6.1,0.785329835010767,조류,3,False
Diomedea amsterdamensis,AVES,EN,27.2,78.0,27.2,1.4345689040341987,조류,3,False
Taphrolesbia griseiventris,AVES,EN,2.4,67.0,2.4,0.38021124171160603,조류,3,False
Oxyura maccoa,AVES,EN,5.5,44.8,5.5,0.7403626894942439,조류,3,False
Oxyura leucocephala,AVES,VU,5.5,50.8,5.5,0.7403626894942439,조류,2,False
Pterodroma cahow,AVES,EN,15.6,70.0,15.6,1.1931245983544616,조류,3,False
Penelopides mindorensis,AVES,EN,7.75,66.9,7.75,0.8893017025063102,조류,3,False
Copsychus sechellarum,AVES,EN,4.5,70.0,4.5,0.6532125137753437,조류,3,False
Taoniscus nanus,AVES,EN,6.8,44.8,6.8,0.8325089127062363,조류,3,False
Ctenosaura oedirhina,REPTILIA,EN,9,44.7,9.0,0.9542425094393249,파충류,3,False
Ctenosaura melanosterna,REPTILIA,EN,8,44.8,8.0,0.9030899869919435,파충류,3,False
Ctenosaura palearis,REPTILIA,EN,6,50.4,6.0,0.7781512503836436,파충류,3,False
Amazona vinacea,AVES,EN,12.30,50.2,12.3,1.089905111439398,조류,3,False
Anas bernieri,AVES,EN,3.8,51.0,3.8,0.5797835966168101,조류,3,False
Juniperus gracilior,PINOPSIDA,EN,30,51.3,30.0,1.4771212547196624,무척추/식물/기타,3,False
Phalacrocorax featherstoni,AVES,EN,8.7,50.8,8.7,0.9395192526186185,조류,3,False
Conolophus pallidus,REPTILIA,VU,17.5,18.4,17.5,1.2430380486862944,파충류,2,False
Procellaria aequinoctialis,AVES,VU,24.7,39.7,24.7,1.3926969532596658,조류,2,False
Procellaria conspicillata,AVES,VU,25.9,3.6,25.9,1.413299764081252,조류,2,False
Tyto aurantia,AVES,VU,5,44.9,5.0,0.6989700043360189,조류,2,False
Telespiza cantans,AVES,VU,4.9,13.5,4.9,0.6901960800285137,조류,2,False
Procellaria parkinsoni,AVES,VU,34,13.5,34.0,1.5314789170422551,조류,2,False
Geothlypis beldingi,AVES,VU,2.5,50.7,2.5,0.3979400086720376,조류,2,False
Accipiter butleri,AVES,VU,5.46,51.0,5.46,0.7371926427047373,조류,2,False
Accipiter luteoschistaceus,AVES,VU,5,50.7,5.0,0.6989700043360189,조류,2,False
Accipiter henstii,AVES,VU,7.9,51.5,7.9,0.8976270912904415,조류,2,False
Accipiter brachyurus,AVES,VU,4.48,45.0,4.48,0.651278013998144,조류,2,False
Pterospermum reticulatum,MAGNOLIOPSIDA,LC,25,10.5,25.0,1.3979400086720377,무척추/식물/기타,0,False
Accipiter princeps,AVES,VU,5.25,44.7,5.25,0.7201593034059569,조류,2,False
Psittrichas fulgidus,AVES,VU,9,39.9,9.0,0.9542425094393249,조류,2,False
Sternula nereis,AVES,VU,11,44.8,11.0,1.0413926851582251,조류,2,False
Cycas armstrongii,CYCADOPSIDA,VU,40,39.8,40.0,1.6020599913279623,무척추/식물/기타,2,False
Coua delalandei,AVES,EX,5.13,100.0,5.13,0.7101173651118162,조류,5,True
Turdus ravidus,AVES,EX,3.38,100.0,3.38,0.5289167002776547,조류,5,True
Lophopsittacus mauritianus,AVES,EX,4.63,100.0,4.63,0.6655809910179531,조류,5,True
Porphyrio caerulescens,AVES,EX,3.41,100.0,3.41,0.5327543789924978,조류,5,True
Myadestes woahensis,AVES,EX,3.1,100.0,3.1,0.4913616938342727,조류,5,True
Chlorostilbon elegans,,EX,2.2,100.0,2.2,0.3424226808222063,무척추/식물/기타,5,True
Chlorostilbon bracei,,EX,2.2,100.0,2.2,0.3424226808222063,무척추/식물/기타,5,True
Necropsar rodericanus,AVES,EX,3.33,100.0,3.33,0.5224442335063199,조류,5,True
Cyanoramphus ulietanus,AVES,EX,3.62,100.0,3.62,0.5587085705331657,조류,5,True
Necropsittacus rodricanus,AVES,EX,4.63,100.0,4.63,0.6655809910179531,조류,5,True
