scientific_name,iucn_class,taxon,iucn_category,iucn_rli,consensus_score,lw5,intervention_tier,diff,is_extinct,pop_source,iucn_trend,ews,pva,iucn_layer,primary_driver,confidence
Crocodylus rhombifer,REPTILIA,파충류,CR,4,50.4,2.52,T2,-1.48,False,iucn_population_size,Decreasing,88.07970779778823,42.589999999999996,55,EWS 신호,0.6
Axis kuhlii,MAMMALIA,포유류,CR,4,60.0,3.0,T3,-1.0,False,iucn_population_size,Stable,50.0,2.923333333333333,80,IUCN/유전 임계값,0.6
Turbinicarpus gielsdorfianus,MAGNOLIOPSIDA,무척추/식물/기타,CR,4,44.7,2.2350000000000003,T2,-1.7649999999999997,False,iucn_population_size,Decreasing,88.07970779778823,41.516666666666666,30,EWS 신호,0.6
Mammillaria sanchez-mejoradae,MAGNOLIOPSIDA,무척추/식물/기타,CR,4,67.4,3.37,T3,-0.6299999999999999,False,iucn_population_size,Decreasing,88.07970779778823,46.64666666666667,80,EWS 신호,0.6
Heteromirafra archeri,AVES,조류,CR,4,78.9,3.9450000000000003,T3,-0.054999999999999716,False,iucn_population_size,Decreasing,88.07970779778823,63.89666666666667,95,IUCN/유전 임계값,0.6
Ostrya rehderiana,MAGNOLIOPSIDA,무척추/식물/기타,CR,4,94.3,4.715,T4,0.7149999999999999,False,iucn_population_size,Decreasing,88.07970779778823,98.00000000000001,95,PVA 시뮬레이션,0.6
Dendrolagus scottae,MAMMALIA,포유류,CR,4,70.0,3.5,T3,-0.5,False,iucn_population_size,Stable,50.0,8.826666666666666,95,IUCN/유전 임계값,0.6
Wollemia nobilis,PINOPSIDA,무척추/식물/기타,CR,4,90.0,4.5,T4,0.5,False,iucn_population_size,Decreasing,88.07970779778823,79.49666666666666,95,IUCN/유전 임계값,0.6
Addax nasomaculatus,MAMMALIA,포유류,CR,4,84.2,4.21,T4,0.20999999999999996,False,iucn_population_size,Decreasing,88.07970779778823,75.59666666666666,95,IUCN/유전 임계값,0.6
Panthera tigris amoyensis,MAMMALIA,포유류,EN,3,49.8,2.4899999999999998,T2,-0.5100000000000002,False,iucn_population_size,Decreasing,88.07970779778823,40.809999999999995,55,EWS 신호,0.6
Bos javanicus,MAMMALIA,포유류,CR,4,50.2,2.5100000000000002,T2,-1.4899999999999998,False,iucn_population_size,Decreasing,88.07970779778823,42.09333333333333,55,EWS 신호,0.6
Terenura sicki,AVES,조류,CR,4,78.6,3.9299999999999997,T3,-0.07000000000000028,False,iucn_population_size,Decreasing,88.07970779778823,63.10333333333333,95,IUCN/유전 임계값,0.6
Abies yuanbaoshanensis,PINOPSIDA,무척추/식물/기타,CR,4,67.1,3.3549999999999995,T3,-0.6450000000000005,False,iucn_population_size,Decreasing,88.07970779778823,45.86,80,EWS 신호,0.6
Pithecophaga jefferyi,AVES,조류,CR,4,66.8,3.34,T3,-0.6600000000000001,False,iucn_population_size,Decreasing,88.07970779778823,45.33333333333333,80,EWS 신호,0.6
Spheniscus demersus,AVES,조류,CR,4,40.6,2.0300000000000002,T2,-1.9699999999999998,False,iucn_population_size,Decreasing,88.07970779778823,41.76333333333333,10,EWS 신호,0.6
Dendrolagus pulcherrimus,MAMMALIA,포유류,CR,4,30.5,1.525,T1,-2.475,False,iucn_population_size,Stable,50.0,1.9399999999999997,80,IUCN/유전 임계값,0.6
Dryococelus australis,INSECTA,무척추/식물/기타,CR,4,90.0,4.5,T4,0.5,False,iucn_population_size,Unknown,66.07563687658173,88.73333333333333,95,IUCN/유전 임계값,0.6
Panthera tigris sumatrae,MAMMALIA,포유류,EN,3,50.4,2.52,T2,-0.48,False,iucn_population_size,Decreasing,88.07970779778823,42.44,55,EWS 신호,0.6
Pipile pipile,AVES,조류,CR,4,70.0,3.5,T3,-0.5,False,iucn_population_size,Increasing,11.920292202211755,0.02333333333333333,95,IUCN/유전 임계값,0.6
Aegotheles savesi,AVES,조류,CR,4,90.0,4.5,T4,0.5,False,iucn_population_size,Unknown,66.07563687658173,85.80333333333333,95,IUCN/유전 임계값,0.6
Lepilemur septentrionalis,MAMMALIA,포유류,CR,4,90.0,4.5,T4,0.5,False,iucn_population_size,Decreasing,88.07970779778823,82.16000000000001,95,IUCN/유전 임계값,0.6
Gymnogyps californianus,AVES,조류,CR,4,78.0,3.9,T3,-0.10000000000000009,False,iucn_population_size,Increasing,11.920292202211755,2.9466666666666663,95,IUCN/유전 임계값,0.6
Mammillaria theresae,MAGNOLIOPSIDA,무척추/식물/기타,CR,4,75.9,3.7950000000000004,T3,-0.20499999999999963,False,iucn_population_size,Decreasing,88.07970779778823,57.133333333333326,95,IUCN/유전 임계값,0.6
Gyps indicus,AVES,조류,CR,4,40.2,2.0100000000000002,T2,-1.9899999999999998,False,iucn_population_size,Decreasing,88.07970779778823,40.83,10,EWS 신호,0.6
Arthroleptides dutoiti,AMPHIBIA,양서류,CR,4,74.8,3.7399999999999998,T3,-0.26000000000000023,False,iucn_population_size,Decreasing,88.07970779778823,54.63333333333333,95,IUCN/유전 임계값,0.6
