scientific_name,iucn_class,taxon_group,iucn_category,iucn_score
Curassanthura bermudensis,MALACOSTRACA,무척추,CR,4
Eleutherodactylus jasperi,AMPHIBIA,양서류,CR,4
Haplochromis michaeli,ACTINOPTERYGII,어류,CR,4
Haplochromis latifasciatus,ACTINOPTERYGII,어류,CR,4
Chelodina mccordi,REPTILIA,파충류,CR,4
Tampichthys dichromus,ACTINOPTERYGII,어류,CR,4
Ctenomys sociabilis,MAMMALIA,포유류,CR,4
Gopherus flavomarginatus,REPTILIA,파충류,CR,4
Rhipsalis mesembryanthemoides,MAGNOLIOPSIDA,식물,CR,4
Colophon primosi,INSECTA,무척추,CR,4
Achatinella phaeozona,GASTROPODA,무척추,CR,4
Belgrandiella styriaca,GASTROPODA,무척추,CR,4
Konia dikume,ACTINOPTERYGII,어류,CR,4
Acheilognathus elongatus,ACTINOPTERYGII,어류,CR,4
Konia eisentrauti,ACTINOPTERYGII,어류,CR,4
Hubbsina turneri,ACTINOPTERYGII,어류,CR,4
Dromus dromas,BIVALVIA,무척추,CR,4
Belgrandiella mimula,GASTROPODA,무척추,EN,3
Nilopegamys plumbeus,MAMMALIA,포유류,CR,4
Achatinella stewartii,GASTROPODA,무척추,CR,4
Haplochromis annectidens,ACTINOPTERYGII,어류,CR,4
Phyllomys unicolor,MAMMALIA,포유류,CR,4
Lanistes nasutus,GASTROPODA,무척추,CR,4
Testudo kleinmanni,REPTILIA,파충류,CR,4
Amastra cylindrica,GASTROPODA,무척추,CR,4
Dendromus kahuziensis,MAMMALIA,포유류,CR,4
Colophon cassoni,INSECTA,무척추,CR,4
Cuora aurocapitata,REPTILIA,파충류,CR,4
Cuora zhoui,REPTILIA,파충류,CR,4
Indolestes boninensis,INSECTA,무척추,CR,4
Anas laysanensis,AVES,조류,CR,4
Coahuilix hubbsi,GASTROPODA,무척추,CR,4
Turbinicarpus horripilus,MAGNOLIOPSIDA,식물,EN,3
Gymnocalycium denudatum,MAGNOLIOPSIDA,식물,EN,3
Opuntia pachyrrhiza,MAGNOLIOPSIDA,식물,EN,3
Micranthocereus auriazureus,MAGNOLIOPSIDA,식물,EN,3
Dawkinsia assimilis,ACTINOPTERYGII,어류,EN,3
Xenicus gilviventris,AVES,조류,EN,3
Mammillaria microhelia,MAGNOLIOPSIDA,식물,EN,3
Athrotaxis laxifolia,PINOPSIDA,식물,EN,3
Spongiforma squarepantsii,AGARICOMYCETES,조류·균류,EN,3
Uebelmannia gummifera,MAGNOLIOPSIDA,식물,EN,3
Melocactus glaucescens,MAGNOLIOPSIDA,식물,EN,3
Calocedrus formosana,PINOPSIDA,식물,EN,3
Pilosocereus multicostatus,MAGNOLIOPSIDA,식물,EN,3
Montivipera albizona,REPTILIA,파충류,EN,3
Amentotaxus formosana,PINOPSIDA,식물,EN,3
Aloe peglerae,LILIOPSIDA,식물,EN,3
Cynometra beddomei,MAGNOLIOPSIDA,식물,EN,3
Picea omorika,PINOPSIDA,식물,EN,3
Rhipsalis crispata,MAGNOLIOPSIDA,식물,EN,3
Inga golfodulcensis,MAGNOLIOPSIDA,식물,EN,3
Solanum albornozii,MAGNOLIOPSIDA,식물,EN,3
Aloe helenae,LILIOPSIDA,식물,EN,3
Aloe suzannae,LILIOPSIDA,식물,EN,3
Phyllobates bicolor,AMPHIBIA,양서류,EN,3
Cynoscion regalis,ACTINOPTERYGII,어류,EN,3
Xanthocyparis vietnamensis,PINOPSIDA,식물,EN,3
Mammillaria albicoma,MAGNOLIOPSIDA,식물,EN,3
Melocactus matanzanus,MAGNOLIOPSIDA,식물,EN,3
Salmo aphelios,ACTINOPTERYGII,어류,EN,3
Rhipsalis pacheco-leonis,MAGNOLIOPSIDA,식물,EN,3
Uromys rex,MAMMALIA,포유류,EN,3
Euphorbia abdelkuri,MAGNOLIOPSIDA,식물,EN,3
Pinus palustris,PINOPSIDA,식물,EN,3
Mammillaria aureilanata,MAGNOLIOPSIDA,식물,EN,3
Calumma globifer,REPTILIA,파충류,EN,3
Adansonia suarezensis,MAGNOLIOPSIDA,식물,EN,3
Melocactus lanssensianus,MAGNOLIOPSIDA,식물,EN,3
Thylogale calabyi,MAMMALIA,포유류,EN,3
Ariocarpus agavoides,MAGNOLIOPSIDA,식물,EN,3
Arthrocereus glaziovii,MAGNOLIOPSIDA,식물,EN,3
Scilla morrisii,LILIOPSIDA,식물,EN,3
Syzygium microphyllum,MAGNOLIOPSIDA,식물,EN,3
Micranthocereus polyanthus,MAGNOLIOPSIDA,식물,EN,3
Nepenthes adnata,MAGNOLIOPSIDA,식물,EN,3
Nepenthes truncata,MAGNOLIOPSIDA,식물,EN,3
Luciocyprinus striolatus,ACTINOPTERYGII,어류,EN,3
Afzelia xylocarpa,MAGNOLIOPSIDA,식물,EN,3
Melocactus azureus,MAGNOLIOPSIDA,식물,EN,3
Ariocarpus bravoanus,MAGNOLIOPSIDA,식물,EN,3
Synapsis ilicifolia,MAGNOLIOPSIDA,식물,CR,4
Anthemis glaberrima,MAGNOLIOPSIDA,식물,EN,3
Astacopsis gouldi,MALACOSTRACA,무척추,EN,3
Parodia magnifica,MAGNOLIOPSIDA,식물,EN,3
Ariocarpus scaphirostris,MAGNOLIOPSIDA,식물,EN,3
Chamaecyparis formosensis,PINOPSIDA,식물,EN,3
Megascolides australis,CLITELLATA,무척추,EN,3
Stygichthys typhlops,ACTINOPTERYGII,어류,EN,3
Mammillaria surculosa,MAGNOLIOPSIDA,식물,EN,3
Hyophorbe indica,LILIOPSIDA,식물,EN,3
Amatitlania kanna,ACTINOPTERYGII,어류,EN,3
Amphilophus margaritifer,ACTINOPTERYGII,어류,EN,3
Amphilophus lyonsi,ACTINOPTERYGII,어류,EN,3
Pachypodium baronii,MAGNOLIOPSIDA,식물,EN,3
Conorhynchos conirostris,ACTINOPTERYGII,어류,EN,3
Melocactus deinacanthus,MAGNOLIOPSIDA,식물,EN,3
Salmo lumi,ACTINOPTERYGII,어류,EN,3
Obregonia denegrii,MAGNOLIOPSIDA,식물,EN,3
Abies ziyuanensis,PINOPSIDA,식물,EN,3
Aloe eminens,LILIOPSIDA,식물,EN,3
Encephalartos horridus,CYCADOPSIDA,식물,EN,3
Aloe erinacea,LILIOPSIDA,식물,EN,3
Devario auropurpureus,ACTINOPTERYGII,어류,EN,3
Oreophrynella quelchii,AMPHIBIA,양서류,EN,3
Oreophasis derbianus,AVES,조류,EN,3
Nepenthes khasiana,MAGNOLIOPSIDA,식물,EN,3
Gila cypha,ACTINOPTERYGII,어류,EN,3
Aloe ballyi,LILIOPSIDA,식물,EN,3
Pilosocereus magnificus,MAGNOLIOPSIDA,식물,EN,3
Sylvilagus cognatus,MAMMALIA,포유류,EN,3
Crotalus pusillus,REPTILIA,파충류,EN,3
Pereskia aureiflora,MAGNOLIOPSIDA,식물,EN,3
Janetaescincus veseyfitzgeraldi,REPTILIA,파충류,EN,3
Phylica arborea,MAGNOLIOPSIDA,식물,EN,3
Pachypanchax sparksorum,ACTINOPTERYGII,어류,EN,3
Lepilemur milanoii,MAMMALIA,포유류,EN,3
Lates angustifrons,ACTINOPTERYGII,어류,EN,3
Mammillaria parkinsonii,MAGNOLIOPSIDA,식물,EN,3
Bhutanitis ludlowi,INSECTA,무척추,EN,3
Hohenbergiopsis guatemalensis,LILIOPSIDA,식물,EN,3
Bedotia madagascariensis,ACTINOPTERYGII,어류,EN,3
Petaurus gracilis,MAMMALIA,포유류,EN,3
Aloe sinkatana,LILIOPSIDA,식물,EN,3
Yavia cryptocarpa,MAGNOLIOPSIDA,식물,EN,3
Graptemys pearlensis,REPTILIA,파충류,EN,3
Hypselobarbus curmuca,ACTINOPTERYGII,어류,EN,3
Betta albimarginata,ACTINOPTERYGII,어류,EN,3
Larix mastersiana,PINOPSIDA,식물,EN,3
Pterocarpus erinaceus,MAGNOLIOPSIDA,식물,EN,3
Gomortega keule,MAGNOLIOPSIDA,식물,EN,3
Aloe cremnophila,LILIOPSIDA,식물,EN,3
Mammillaria crucigera,MAGNOLIOPSIDA,식물,EN,3
Aloe albovestita,LILIOPSIDA,식물,EN,3
Aloe adigratana,LILIOPSIDA,식물,EN,3
Sauromalus hispidus,REPTILIA,파충류,EN,3
Botia striata,ACTINOPTERYGII,어류,EN,3
Goetzea elegans,MAGNOLIOPSIDA,식물,EN,3
Cleistocactus winteri,MAGNOLIOPSIDA,식물,EN,3
Montipora digitata,ANTHOZOA,무척추,EN,3
Alburnoides prespensis,ACTINOPTERYGII,어류,EN,3
Aloe peckii,LILIOPSIDA,식물,EN,3
Thelocactus hastifer,MAGNOLIOPSIDA,식물,EN,3
Satranala decussilvae,LILIOPSIDA,식물,EN,3
Aloe lolwensis,LILIOPSIDA,식물,EN,3
Dicrossus gladicauda,ACTINOPTERYGII,어류,EN,3
Accipiter gundlachi,AVES,조류,EN,3
Astyanax jordani,ACTINOPTERYGII,어류,EN,3
Fundulopanchax amieti,ACTINOPTERYGII,어류,EN,3
Fundulopanchax arnoldi,ACTINOPTERYGII,어류,EN,3
Melanopsis etrusca,GASTROPODA,무척추,EN,3
Sarcophilus harrisii,MAMMALIA,포유류,EN,3
Puya raimondii,LILIOPSIDA,식물,EN,3
Zosterops flavus,AVES,조류,EN,3
Salmo ohridanus,ACTINOPTERYGII,어류,EN,3
Bedotia geayi,ACTINOPTERYGII,어류,EN,3
Gymnogeophagus caaguazuensis,ACTINOPTERYGII,어류,EN,3
Aloe megalocarpa,LILIOPSIDA,식물,EN,3
Aulonocara guentheri,ACTINOPTERYGII,어류,EN,3
Echinocactus grusonii,MAGNOLIOPSIDA,식물,EN,3
Tropheus duboisi,ACTINOPTERYGII,어류,EN,3
Elephas maximus,MAMMALIA,포유류,EN,3
Sequoia sempervirens,PINOPSIDA,식물,EN,3
Brachypelma boehmei,ARACHNIDA,무척추,EN,3
Nepenthes chaniana,MAGNOLIOPSIDA,식물,EN,3
Ogmodon vitianus,REPTILIA,파충류,EN,3
Uebelmannia pectinifera,MAGNOLIOPSIDA,식물,EN,3
Cyclemys oldhamii,REPTILIA,파충류,EN,3
